Tempo de processamento (perf_counter): 478.7420 segundos

         125429 function calls (125051 primitive calls) in 478.754 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      653    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.000    0.000 threading.py:938(start)
      211    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.000    0.000 shared_memory.py:75(__init__)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
        2    0.000    0.000    0.000    0.000 resource_tracker.py:161(_send)
      107    0.000    0.000    0.000    0.000 __init__.py:163(match)
        1    0.000    0.000    0.000    0.000 subprocess.py:1(<module>)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        2    0.000    0.000    0.000    0.000 resource_tracker.py:78(ensure_running)
        1    0.000    0.000    0.000    0.000 resource_tracker.py:153(register)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
      107    0.000    0.000    0.000    0.000 __init__.py:272(_compile)
      123    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x9594a0}
        1    0.000    0.000    0.000    0.000 util.py:447(spawnv_passfds)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:772(create_module)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
      645    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.000    0.000 {built-in method _posixsubprocess.fork_exec}
       16    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       14    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.000    0.000 _compiler.py:738(compile)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        5    0.000    0.000    0.000    0.000 util.py:205(__call__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(exec_module)
        2    0.000    0.000    0.000    0.000 __init__.py:348(namedtuple)
     1699    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 process.py:80(__init__)
       16    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       60    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.000    0.000 threading.py:604(wait)
      408    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      407    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
       20    0.000    0.000    0.000    0.000 {built-in method posix.close}
      410    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      409    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
        3    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:288(wait)
        1    0.000    0.000    0.000    0.000 synchronize.py:1(<module>)
        2    0.000    0.000    0.000    0.000 context.py:65(Lock)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
      732    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      125    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      718    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        4    0.000    0.000    0.000    0.000 util.py:463(close_fds)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        2    0.000    0.000    0.000    0.000 synchronize.py:161(__init__)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        6    0.000    0.000    0.000    0.000 util.py:186(__init__)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1711    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      127    0.000    0.000    0.000    0.000 enum.py:831(__setattr__)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 _parser.py:970(parse)
      250    0.000    0.000    0.000    0.000 python_pararell_multiprocessing.py:49(taylor_series_sin)
        1    0.000    0.000    0.000    0.000 _compiler.py:571(_code)
       35    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        7    0.000    0.000    0.000    0.000 enum.py:488(__new__)
      621    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1374    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
        7    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 _parser.py:447(_parse_sub)
       68    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1032(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1028(__enter__)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
      102    0.000    0.000    0.000    0.000 enum.py:919(<lambda>)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:922(find_spec)
      511    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        3    0.000    0.000    0.000    0.000 synchronize.py:114(_make_name)
      596    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       17    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      102    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
        1    0.000    0.000    0.000    0.000 random.py:787(SystemRandom)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
      102    0.000    0.000    0.000    0.000 types.py:164(__init__)
        1    0.000    0.000    0.000    0.000 pickle.py:407(_Pickler)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
      102    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
        1    0.000    0.000    0.000    0.000 _parser.py:507(_parse)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
        3    0.000    0.000    0.000    0.000 tempfile.py:292(__next__)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
        1    0.000    0.000    0.000    0.000 synchronize.py:184(RLock)
      116    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
  710/708    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      356    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       66    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1402(__init__)
       77    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        4    0.000    0.000    0.000    0.000 process.py:61(_cleanup)
        1    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
        4    0.000    0.000    0.000    0.000 util.py:433(_flush_std_streams)
        1    0.000    0.000    0.000    0.000 resource_tracker.py:157(unregister)
      342    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       15    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      2/1    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
       14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        3    0.000    0.000    0.000    0.000 random.py:119(__init__)
        1    0.000    0.000    0.000    0.000 context.py:85(BoundedSemaphore)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
      102    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
      342    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       11    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        1    0.000    0.000    0.000    0.000 synchronize.py:144(__init__)
        4    0.000    0.000    0.000    0.000 shared_memory.py:209(name)
        2    0.000    0.000    0.000    0.000 random.py:128(seed)
        3    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
        2    0.000    0.000    0.000    0.000 threading.py:849(__init__)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
        1    0.000    0.000    0.000    0.000 queues.py:204(_finalize_close)
        2    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      107    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 popen_fork.py:1(<module>)
        3    0.000    0.000    0.000    0.000 random.py:480(choices)
      197    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       49    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       49    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      102    0.000    0.000    0.000    0.000 enum.py:224(__set_name__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f5452af3ce0}
        3    0.000    0.000    0.000    0.000 tempfile.py:281(rng)
      131    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 <frozen os>:48(<listcomp>)
       44    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        4    0.000    0.000    0.000    0.000 util.py:171(register_after_fork)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        2    0.000    0.000    0.000    0.000 signal.py:67(pthread_sigmask)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
        6    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
        1    0.000    0.000    0.000    0.000 pickle.py:1137(_Unpickler)
        1    0.000    0.000    0.000    0.000 shared_memory.py:249(ShareableList)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
      146    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      102    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 context.py:30(BaseContext)
        3    0.000    0.000    0.000    0.000 random.py:493(<listcomp>)
        8    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:22(<listcomp>)
      141    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        4    0.000    0.000    0.000    0.000 weakref.py:164(__setitem__)
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        2    0.000    0.000    0.000    0.000 selectors.py:583(_can_use)
        1    0.000    0.000    0.000    0.000 shared_memory.py:40(_make_filename)
        1    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.000    0.000 {built-in method _posixshmem.shm_open}
        2    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       68    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       27    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       48    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        2    0.000    0.000    0.000    0.000 enum.py:1504(__and__)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        3    0.000    0.000    0.000    0.000 {built-in method posix.write}
        7    0.000    0.000    0.000    0.000 enum.py:923(<dictcomp>)
      113    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 subprocess.py:300(_args_from_interpreter_flags)
        1    0.000    0.000    0.000    0.000 subprocess.py:695(_use_posix_spawn)
        3    0.000    0.000    0.000    0.000 threading.py:236(__init__)
        4    0.000    0.000    0.000    0.000 enum.py:691(__call__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
