Tempo de processamento (perf_counter): 1.8002 segundos

         50234 function calls (49020 primitive calls) in 1.815 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     18/8    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
        1    0.000    0.000    0.000    0.000 resource_tracker.py:266(register)
      271    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
        1    0.000    0.000    0.000    0.000 resource_tracker.py:169(_launch)
       97    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:635(cached)
        8    0.000    0.000    0.000    0.000 _compiler.py:590(_code)
       29    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       44    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.000    0.000 util.py:518(spawnv_passfds)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _posixsubprocess.fork_exec}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(exec_module)
      622    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
       16    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
2789/2757    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      607    0.000    0.000    0.000    0.000 threading.py:408(notify)
       44    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
       29    0.000    0.000    0.000    0.000 enum.py:239(__set_name__)
     29/8    0.000    0.000    0.000    0.000 _compiler.py:39(_compile)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:429(_get_module_lock)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1352(_get_spec)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:423(__exit__)
      181    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(_path_importer_cache)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:466(_lock_unlock_module)
       78    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
